"Phase","comparison","Gene","Metric","test","n_A","n_B","mean_A","mean_B","diff_mean","median_A","median_B","diff_median","statistic","p_value","p_adj_BH","significant"
"Interphase","NT vs CDK1","TERT","Exon_total","Wilcoxon rank-sum test",42,36,16.2857142857143,17.75,-1.46428571428572,16,17,-1,669.5,0.387700771556959,0.443086596065096,"no"
"Interphase","NT vs CLK_DYRK","TERT","Exon_total","Wilcoxon rank-sum test",42,36,16.2857142857143,9.38888888888889,6.8968253968254,16,9,7,1295.5,6.20994806452236e-08,2.9223285009517e-07,"yes"
"Interphase","NT vs CDK1","METTL3","Exon_total","Wilcoxon rank-sum test",47,28,47.6808510638298,69.0357142857143,-21.3548632218845,46,69,-23,218,1.45876301118141e-06,4.86254337060471e-06,"yes"
"Interphase","NT vs CLK_DYRK","METTL3","Exon_total","Wilcoxon rank-sum test",47,33,47.6808510638298,48.4545454545455,-0.773694390715669,46,48,-2,725.5,0.628228092427367,0.679165505326883,"no"
"Interphase","NT vs CDK1","BRD8","Exon_total","Wilcoxon rank-sum test",30,27,37.8666666666667,56,-18.1333333333333,38,58,-20,136.5,1.82615773557287e-05,4.56539433893217e-05,"yes"
"Interphase","NT vs CLK_DYRK","BRD8","Exon_total","Wilcoxon rank-sum test",30,23,37.8666666666667,24.8695652173913,12.9971014492754,38,23,15,542,0.000417865176798662,0.000879716161681394,"yes"
"Interphase","NT vs CDK1","FANCA","Exon_total","Wilcoxon rank-sum test",39,30,26.7435897435897,27.2,-0.456410256410255,27,27,0,569,0.850845223288315,0.872661767475195,"no"
"Interphase","NT vs CLK_DYRK","FANCA","Exon_total","Wilcoxon rank-sum test",39,30,26.7435897435897,24.2666666666667,2.47692307692308,27,24,3,769,0.025943846045821,0.040696229091484,"yes"
"Interphase","NT vs CDK1","CENPT","Exon_total","Wilcoxon rank-sum test",45,36,28.5777777777778,32.7142857142857,-4.13650793650794,28,32.8571428571429,-4.85714285714286,550.5,0.0137278523773716,0.0224684911804255,"yes"
"Interphase","NT vs CLK_DYRK","CENPT","Exon_total","Wilcoxon rank-sum test",45,35,28.5777777777778,27.3529411764706,1.22483660130719,28,27.3529411764706,0.647058823529413,825.5,0.71565711703212,0.753323281086442,"no"
"Interphase","NT vs CDK1","TERT","Exon_spliced","Wilcoxon rank-sum test",42,36,4.42857142857143,5.22222222222222,-0.793650793650793,5,5,0,642,0.251412598792393,0.30474254399078,"no"
"Interphase","NT vs CLK_DYRK","TERT","Exon_spliced","Wilcoxon rank-sum test",42,36,4.42857142857143,2.22222222222222,2.20634920634921,5,2,3,1184,1.53475014529739e-05,4.09266705412638e-05,"yes"
"Interphase","NT vs CDK1","METTL3","Exon_spliced","Wilcoxon rank-sum test",47,29,22.3829787234043,35.5862068965517,-13.2032281731475,20,36,-16,266.5,9.20916055289985e-06,2.54045808355858e-05,"yes"
"Interphase","NT vs CLK_DYRK","METTL3","Exon_spliced","Wilcoxon rank-sum test",47,33,22.3829787234043,7.6969696969697,14.6860090264346,20,6,14,1427,1.92402951082524e-10,2.56537268110032e-09,"yes"
"Interphase","NT vs CDK1","BRD8","Exon_spliced","Wilcoxon rank-sum test",30,27,17.5666666666667,8.74074074074074,8.82592592592593,17.5,8,9.5,721.5,4.16300750848775e-07,1.44800261164791e-06,"yes"
"Interphase","NT vs CLK_DYRK","BRD8","Exon_spliced","Wilcoxon rank-sum test",30,23,17.5666666666667,8.82608695652174,8.74057971014493,17.5,9,8.5,604.5,3.18137394292654e-06,9.78884290131243e-06,"yes"
"Interphase","NT vs CDK1","FANCA","Exon_spliced","Wilcoxon rank-sum test",39,30,10.8717948717949,9.3,1.57179487179487,11,9,2,740.5,0.0595603122381235,0.0835934206850856,"no"
"Interphase","NT vs CLK_DYRK","FANCA","Exon_spliced","Wilcoxon rank-sum test",39,30,10.8717948717949,10.0666666666667,0.805128205128206,11,9,2,667,0.321715504051086,0.373003482957781,"no"
"Interphase","NT vs CDK1","CENPT","Exon_spliced","Wilcoxon rank-sum test",45,36,9.06666666666667,11.4571428571429,-2.39047619047619,8,12,-4,547.5,0.0125541636708225,0.021368789226932,"yes"
"Interphase","NT vs CLK_DYRK","CENPT","Exon_spliced","Wilcoxon rank-sum test",45,35,9.06666666666667,9.91176470588235,-0.845098039215687,8,9,-1,662,0.223250472822282,0.28349266390131,"no"
"Interphase","NT vs CDK1","TERT","Intron_nuc","Wilcoxon rank-sum test",42,36,11.8571428571429,12.5277777777778,-0.670634920634921,11,12,-1,704,0.604803222772186,0.662798052353081,"no"
"Interphase","NT vs CLK_DYRK","TERT","Intron_nuc","Wilcoxon rank-sum test",42,36,11.8571428571429,7.16666666666667,4.69047619047619,11,6.5,4.5,1210,5.13112230645737e-06,1.52033253524663e-05,"yes"
"Interphase","NT vs CDK1","METTL3","Intron_nuc","Wilcoxon rank-sum test",47,29,25.2978723404255,31.0689655172414,-5.77109317681585,24,29,-5,401.5,0.00277013741994135,0.0055402748398827,"yes"
"Interphase","NT vs CLK_DYRK","METTL3","Intron_nuc","Wilcoxon rank-sum test",47,33,25.2978723404255,40.7575757575758,-15.4597034171502,24,39,-15,284.5,1.60410844661214e-06,5.13314702915884e-06,"yes"
"Interphase","NT vs CDK1","BRD8","Intron_nuc","Wilcoxon rank-sum test",30,27,20.3,47.2592592592593,-26.9592592592593,21,49,-28,40,5.55480550880247e-09,4.44384440704198e-08,"yes"
"Interphase","NT vs CLK_DYRK","BRD8","Intron_nuc","Wilcoxon rank-sum test",30,23,20.3,16.0434782608696,4.25652173913043,21,13,8,455.5,0.0480892673478257,0.0699480252332011,"no"
"Interphase","NT vs CDK1","FANCA","Intron_nuc","Wilcoxon rank-sum test",39,30,15.8717948717949,17.9,-2.02820512820513,15,18.5,-3.5,427.5,0.0564942879075891,0.0807061255822701,"no"
"Interphase","NT vs CLK_DYRK","FANCA","Intron_nuc","Wilcoxon rank-sum test",39,30,15.8717948717949,14.2,1.67179487179487,15,14,1,711,0.127028782635169,0.169371710180226,"no"
"Interphase","NT vs CDK1","CENPT","Intron_nuc","Wilcoxon rank-sum test",45,36,19.5111111111111,21.2571428571429,-1.74603174603174,19,21.6285714285714,-2.62857142857143,623.5,0.0765495332358363,0.105585563083912,"no"
"Interphase","NT vs CLK_DYRK","CENPT","Intron_nuc","Wilcoxon rank-sum test",45,35,19.5111111111111,17.4411764705882,2.06993464052288,19,17.4411764705882,1.55882352941176,955,0.104417130713101,0.141582550119459,"no"
"Interphase","NT vs CDK1","TERT","PIR","Wilcoxon rank-sum test",42,36,72.2013994334542,69.910865575803,2.29053385765111,71.8253968253968,69.9095022624434,1.91589456295338,826.5,0.482766668129451,0.543962442962762,"no"
"Interphase","NT vs CLK_DYRK","TERT","PIR","Wilcoxon rank-sum test",42,36,72.2013994334542,77.7267792383246,-5.52537980487048,71.8253968253968,80,-8.17460317460318,552,0.0411724489242575,0.0633422291142422,"no"
"Interphase","NT vs CDK1","METTL3","PIR","Wilcoxon rank-sum test",47,29,53.6611038697244,46.4048242442352,7.25627962548922,54.2857142857143,48.5714285714286,5.71428571428572,933,0.00727106213271836,0.0129263326803882,"yes"
"Interphase","NT vs CLK_DYRK","METTL3","PIR","Wilcoxon rank-sum test",47,33,53.6611038697244,83.0919091177625,-29.430805248038,54.2857142857143,86.2068965517241,-31.9211822660098,114.5,1.07911617677159e-10,1.79918065848005e-09,"yes"
"Interphase","NT vs CDK1","BRD8","PIR","Wilcoxon rank-sum test",30,27,52.9601325964741,83.7967971237151,-30.836664527241,50.7142857142857,84.2105263157895,-33.4962406015038,8,2.33177585944432e-10,2.6648866965078e-09,"yes"
"Interphase","NT vs CLK_DYRK","BRD8","PIR","Wilcoxon rank-sum test",30,23,52.9601325964741,60.7518094907483,-7.79167689427415,50.7142857142857,61.5384615384615,-10.8241758241758,215.5,0.0205978570669843,0.0329565713071748,"yes"
"Interphase","NT vs CDK1","FANCA","PIR","Wilcoxon rank-sum test",39,30,59.5388573369016,66.0448901847833,-6.50603284788171,60,66.0919540229885,-6.0919540229885,369.5,0.00921680744607534,0.0160292303410006,"yes"
"Interphase","NT vs CLK_DYRK","FANCA","PIR","Wilcoxon rank-sum test",39,30,59.5388573369016,60.8591532621303,-1.32029592522878,60,60.7919254658385,-0.79192546583851,527.5,0.489803076521002,0.544225640578891,"no"
"Interphase","NT vs CDK1","CENPT","PIR","Wilcoxon rank-sum test",45,36,69.2273083932462,65.7646329276489,3.46267546559724,69.2307692307692,64.6428571428571,4.58791208791209,961,0.152551014425924,0.200066904165146,"no"
"Interphase","NT vs CLK_DYRK","CENPT","PIR","Wilcoxon rank-sum test",45,35,69.2273083932462,64.0880197456976,5.13928864754853,69.2307692307692,64,5.23076923076923,995,0.0446665590916339,0.0674212212703908,"no"
"Mitosis","NT vs CDK1","TERT","Exon_total","Wilcoxon rank-sum test",33,26,18.46875,20.2,-1.73125,18,20,-2,355,0.260567625098241,0.311125522505362,"no"
"Mitosis","NT vs CLK_DYRK","TERT","Exon_total","Wilcoxon rank-sum test",33,28,18.46875,12.037037037037,6.43171296296296,18,12,6,741,5.38105705368182e-05,0.000126613107145455,"yes"
"Mitosis","NT vs CDK1","METTL3","Exon_total","Wilcoxon rank-sum test",25,26,42.08,38.0769230769231,4.00307692307692,40,35,5,391,0.216828826101328,0.279779130453327,"no"
"Mitosis","NT vs CLK_DYRK","METTL3","Exon_total","Wilcoxon rank-sum test",25,30,42.08,38.2666666666667,3.81333333333333,40,37.5,2.5,440,0.275352211886784,0.323943778690334,"no"
"Mitosis","NT vs CDK1","BRD8","Exon_total","Wilcoxon rank-sum test",25,20,38.08,57,-18.92,38,55,-17,18,1.20974182467582e-07,5.01994450160803e-07,"yes"
"Mitosis","NT vs CLK_DYRK","BRD8","Exon_total","Wilcoxon rank-sum test",25,30,38.08,31.9666666666667,6.11333333333333,38,31,7,546.5,0.00380266409341173,0.00724316970173662,"yes"
"Mitosis","NT vs CDK1","FANCA","Exon_total","Wilcoxon rank-sum test",41,38,32.2682926829268,30.0263157894737,2.24197689345314,29,30,-1,811.5,0.753127802536737,0.782470444194012,"no"
"Mitosis","NT vs CLK_DYRK","FANCA","Exon_total","Wilcoxon rank-sum test",41,32,32.2682926829268,22.65625,9.61204268292683,29,23,6,1063.5,5.80886650133755e-06,1.6596761432393e-05,"yes"
"Mitosis","NT vs CDK1","CENPT","Exon_total","Wilcoxon rank-sum test",58,35,31.551724137931,38.7142857142857,-7.16256157635468,31,35,-4,662,0.00513399070889514,0.00933452856162753,"yes"
"Mitosis","NT vs CLK_DYRK","CENPT","Exon_total","Wilcoxon rank-sum test",58,55,31.551724137931,28.1818181818182,3.36990595611285,31,29,2,2023.5,0.0137619508480106,0.0224684911804255,"yes"
"Mitosis","NT vs CDK1","TERT","Exon_spliced","Wilcoxon rank-sum test",33,26,15.75,18.76,-3.01,15,19.5,-4.5,298.5,0.0466712046561413,0.0691425254165056,"no"
"Mitosis","NT vs CLK_DYRK","TERT","Exon_spliced","Wilcoxon rank-sum test",33,28,15.75,5.03703703703704,10.712962962963,15,5,10,907.5,1.12448791155003e-10,1.79918065848005e-09,"yes"
"Mitosis","NT vs CDK1","METTL3","Exon_spliced","Wilcoxon rank-sum test",25,26,39.88,36.3461538461538,3.53384615384616,38,33.5,4.5,386.5,0.250057805044361,0.30474254399078,"no"
"Mitosis","NT vs CLK_DYRK","METTL3","Exon_spliced","Wilcoxon rank-sum test",25,30,39.88,23.9666666666667,15.9133333333333,38,22,16,676.5,3.52658253507304e-07,1.28239364911747e-06,"yes"
"Mitosis","NT vs CDK1","BRD8","Exon_spliced","Wilcoxon rank-sum test",25,20,37.08,18.95,18.13,36,19,17,488,5.57682740280765e-08,2.86108923482111e-07,"yes"
"Mitosis","NT vs CLK_DYRK","BRD8","Exon_spliced","Wilcoxon rank-sum test",25,30,37.08,26.2333333333333,10.8466666666667,36,23.5,12.5,630,1.66209483394122e-05,4.28927699081605e-05,"yes"
"Mitosis","NT vs CDK1","FANCA","Exon_spliced","Wilcoxon rank-sum test",41,38,21.1463414634146,14.5263157894737,6.62002567394095,20,14,6,1206.5,2.66518606672893e-05,6.46105713146407e-05,"yes"
"Mitosis","NT vs CLK_DYRK","FANCA","Exon_spliced","Wilcoxon rank-sum test",41,32,21.1463414634146,13,8.14634146341463,20,13,7,1131,1.25498612540201e-07,5.01994450160803e-07,"yes"
"Mitosis","NT vs CDK1","CENPT","Exon_spliced","Wilcoxon rank-sum test",58,35,24.1379310344828,25.8285714285714,-1.69064039408867,24.5,24,0.5,996.5,0.886303967221148,0.89752300478091,"no"
"Mitosis","NT vs CLK_DYRK","CENPT","Exon_spliced","Wilcoxon rank-sum test",58,55,24.1379310344828,16.8909090909091,7.24702194357367,24.5,17,7.5,2651.5,1.22984451063511e-09,1.22984451063511e-08,"yes"
"Mitosis","NT vs CDK1","TERT","Intron_nuc","Wilcoxon rank-sum test",33,26,2.71875,1.44,1.27875,2.71875,1,1.71875,613,0.00431304352806138,0.00802426702895141,"yes"
"Mitosis","NT vs CLK_DYRK","TERT","Intron_nuc","Wilcoxon rank-sum test",33,28,2.71875,7,-4.28125,2.71875,6,-3.28125,106,2.27234308678733e-07,8.65654509252317e-07,"yes"
"Mitosis","NT vs CDK1","METTL3","Intron_nuc","Wilcoxon rank-sum test",25,26,2.2,1.73076923076923,0.469230769230769,1,1,0,345.5,0.698445727543972,0.745008776046903,"no"
"Mitosis","NT vs CLK_DYRK","METTL3","Intron_nuc","Wilcoxon rank-sum test",25,30,2.2,14.3,-12.1,1,11,-10,39.5,1.34550365873674e-08,7.68859233563854e-08,"yes"
"Mitosis","NT vs CDK1","BRD8","Intron_nuc","Wilcoxon rank-sum test",25,20,1,38.05,-37.05,1,37.5,-36.5,0,8.97722049840958e-09,6.52888763520697e-08,"yes"
"Mitosis","NT vs CLK_DYRK","BRD8","Intron_nuc","Wilcoxon rank-sum test",25,30,1,5.73333333333333,-4.73333333333333,1,5,-4,57,5.72217846964221e-08,2.86108923482111e-07,"yes"
"Mitosis","NT vs CDK1","FANCA","Intron_nuc","Wilcoxon rank-sum test",41,38,11.1219512195122,15.5,-4.37804878048781,11,15.5,-4.5,386.5,0.000116429154847482,0.000258731455216627,"yes"
"Mitosis","NT vs CLK_DYRK","FANCA","Intron_nuc","Wilcoxon rank-sum test",41,32,11.1219512195122,9.65625,1.46570121951219,11,10,1,761,0.243219716609247,0.304024645761559,"no"
"Mitosis","NT vs CDK1","CENPT","Intron_nuc","Wilcoxon rank-sum test",58,35,7.41379310344828,12.8857142857143,-5.47192118226601,7,11,-4,509.5,5.87802434804029e-05,0.000134354842240921,"yes"
"Mitosis","NT vs CLK_DYRK","CENPT","Intron_nuc","Wilcoxon rank-sum test",58,55,7.41379310344828,11.2909090909091,-3.87711598746082,7,11,-4,664,8.08123598168086e-08,3.5916604363026e-07,"yes"
"Mitosis","NT vs CDK1","TERT","PIR","Wilcoxon rank-sum test",33,26,14.4383661966814,7.47776924321547,6.9605969534659,13.6363636363636,6.90476190476191,6.73160173160173,644,0.00102683296197364,0.00210632402456131,"yes"
"Mitosis","NT vs CLK_DYRK","TERT","PIR","Wilcoxon rank-sum test",33,28,14.4383661966814,57.5879593784651,-43.1495931817837,13.6363636363636,57.1428571428571,-43.5064935064935,6.5,4.44987755695009e-11,1.18663401518669e-09,"yes"
"Mitosis","NT vs CDK1","METTL3","PIR","Wilcoxon rank-sum test",25,26,4.98197947818557,4.37555550080106,0.606423977384503,3.03030303030303,3.07765151515152,-0.0473484848484849,327,0.977096037971019,0.977096037971019,"no"
"Mitosis","NT vs CLK_DYRK","METTL3","PIR","Wilcoxon rank-sum test",25,30,4.98197947818557,35.0565834987415,-30.0746040205559,3.03030303030303,32.1207430340557,-29.0904400037527,17,1.42643651076229e-09,1.26794356512203e-08,"yes"
"Mitosis","NT vs CDK1","BRD8","PIR","Wilcoxon rank-sum test",25,20,2.6446841115078,65.9638201014551,-63.3191359899473,2.5,65.7885849375211,-63.2885849375211,0,1.05146217580966e-08,7.00974783873106e-08,"yes"
"Mitosis","NT vs CLK_DYRK","BRD8","PIR","Wilcoxon rank-sum test",25,30,2.6446841115078,18.2170936342448,-15.572409522737,2.5,16.3978494623656,-13.8978494623656,38.5,1.25425836163072e-08,7.68859233563854e-08,"yes"
"Mitosis","NT vs CDK1","FANCA","PIR","Wilcoxon rank-sum test",41,38,33.8186350455399,52.034400657428,-18.2157656118881,36.6666666666667,50,-13.3333333333333,85.5,1.03757230639222e-11,4.15028922556888e-10,"yes"
"Mitosis","NT vs CLK_DYRK","FANCA","PIR","Wilcoxon rank-sum test",41,32,33.8186350455399,43.0000263090328,-9.18139126349288,36.6666666666667,43.167701863354,-6.50103519668738,321,0.000199664167059067,0.000431706307154739,"yes"
"Mitosis","NT vs CDK1","CENPT","PIR","Wilcoxon rank-sum test",58,35,23.4498225071908,33.0826004344602,-9.63277792726941,22.0867208672087,28.5714285714286,-6.4847077042199,645.5,0.00342857751937892,0.00668990735488569,"yes"
"Mitosis","NT vs CLK_DYRK","CENPT","PIR","Wilcoxon rank-sum test",58,55,23.4498225071908,40.3524985248608,-16.90267601767,22.0867208672087,40,-17.9132791327913,347.5,7.83583679466272e-13,6.26866943573017e-11,"yes"
