model,fold,n_total,n_pos,n_neg,metrics,AU
IR,5,3584,1426,2158,ROC,0.853523111758719
IR,2,3584,1427,2157,ROC,0.8562383387604902
IR,4,3584,1430,2154,ROC,0.8644440981488334
IR,1,3584,1427,2157,ROC,0.8630498184071091
IR,3,3584,1427,2157,ROC,0.8621083098687183
HL,5,1216,606,610,ROC,0.7078477519883136
HL,2,1216,607,609,ROC,0.6688646145272856
HL,4,1216,610,606,ROC,0.7027647026997781
HL,1,1216,612,604,ROC,0.710451564731853
HL,3,1216,614,602,ROC,0.68120245219518
IR,5,3584,1426,2158,PRC,0.8119750074279062
IR,2,3584,1427,2157,PRC,0.8182835494150601
IR,4,3584,1430,2154,PRC,0.8256391129217604
IR,1,3584,1427,2157,PRC,0.8274762041843817
IR,3,3584,1427,2157,PRC,0.8191705493227678
HL,5,1216,606,610,PRC,0.7287016347470918
HL,2,1216,607,609,PRC,0.6994595433505959
HL,4,1216,610,606,PRC,0.7157656970058014
HL,1,1216,612,604,PRC,0.7168627497264175
HL,3,1216,614,602,PRC,0.701269322567722
